ap,signal_norm,x,y,z
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
B,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
D,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
C,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,22.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
B,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
D,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
C,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
A,1.0,21.0,17.0,2.0
